# --- Lattice vectors
11.083500000 7.821000000 17.000000000
12.315000000 9.954000000 17.000000000
13.546500000 12.087000000 17.000000000
14.778000000 14.220000000 17.000000000
16.009500000 16.353000000 17.000000000
17.241000000 18.486000000 17.000000000
18.472500000 20.619000000 17.000000000
9.852000000 1.422000000 17.000000000
11.083500000 3.555000000 17.000000000
12.315000000 5.688000000 17.000000000
13.546500000 7.821000000 17.000000000
14.778000000 9.954000000 17.000000000
16.009500000 12.087000000 17.000000000
17.241000000 14.220000000 17.000000000
18.472500000 16.353000000 17.000000000
19.704000000 18.486000000 17.000000000
20.935500000 20.619000000 17.000000000
12.315000000 1.422000000 17.000000000
13.546500000 3.555000000 17.000000000
14.778000000 5.688000000 17.000000000
16.009500000 7.821000000 17.000000000
17.241000000 9.954000000 17.000000000
18.472500000 12.087000000 17.000000000
19.704000000 14.220000000 17.000000000
20.935500000 16.353000000 17.000000000
22.167000000 18.486000000 17.000000000
23.398500000 20.619000000 17.000000000
14.778000000 1.422000000 17.000000000
16.009500000 3.555000000 17.000000000
17.241000000 5.688000000 17.000000000
18.472500000 7.821000000 17.000000000
19.704000000 9.954000000 17.000000000
20.935500000 12.087000000 17.000000000
22.167000000 14.220000000 17.000000000
23.398500000 16.353000000 17.000000000
24.630000000 18.486000000 17.000000000
25.861500000 20.619000000 17.000000000
17.241000000 1.422000000 17.000000000
18.472500000 3.555000000 17.000000000
19.704000000 5.688000000 17.000000000
20.935500000 7.821000000 17.000000000
22.167000000 9.954000000 17.000000000
23.398500000 12.087000000 17.000000000
24.630000000 14.220000000 17.000000000
25.861500000 16.353000000 17.000000000
27.093000000 18.486000000 17.000000000
28.324500000 20.619000000 17.000000000
19.704000000 1.422000000 17.000000000
20.935500000 3.555000000 17.000000000
22.167000000 5.688000000 17.000000000
23.398500000 7.821000000 17.000000000
24.630000000 9.954000000 17.000000000
25.861500000 12.087000000 17.000000000
27.093000000 14.220000000 17.000000000
28.324500000 16.353000000 17.000000000
29.556000000 18.486000000 17.000000000
30.787500000 20.619000000 17.000000000
22.167000000 1.422000000 17.000000000
23.398500000 3.555000000 17.000000000
24.630000000 5.688000000 17.000000000
25.861500000 7.821000000 17.000000000
27.093000000 9.954000000 17.000000000
28.324500000 12.087000000 17.000000000
29.556000000 14.220000000 17.000000000
30.787500000 16.353000000 17.000000000
32.019000000 18.486000000 17.000000000
